layer,rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy
conv3,16,66378,0.4848108536036385,1.5289990362167358,0.5096,0.2248,720896,0.8472222222222222,0.5551737000005232,0.5045725000036327,0.573,2.43100235322927,0.6000306010246277
conv3,32,77642,0.3973859455767529,1.0335878185272216,0.6456,0.0888000000000001,1441792,0.6944444444444444,0.5551737000005232,0.5014200000005076,0.7722,1.3141512770992396,0.7885524034500122
conv3,48,88906,0.30996103754986726,0.8654435792922973,0.7064,0.028000000000000025,2162688,0.5416666666666667,0.5551737000005232,0.5187165000006644,0.8838,0.7677259328107631,0.8807648420333862
conv3,64,100170,0.22253612952298163,0.7939177090644837,0.7214,0.013000000000000012,2883584,0.38888888888888884,0.5551737000005232,0.5232609999984561,0.9426,0.30988085666059956,0.9322720170021057
conv3,80,111434,0.135111221496096,0.7774637692451477,0.7298,0.0046000000000000485,3604480,0.23611111111111116,0.5551737000005232,0.5550994999975956,0.9656,0.2072072858611995,0.9638416171073914
conv3,96,122698,0.04768631346921037,0.7643162446022034,0.733,0.0014000000000000679,4325376,0.08333333333333337,0.5551737000005232,0.5555629999980738,0.985,0.08476914910229055,0.9829613566398621
conv3,112,133962,-0.039738594557675366,0.7611085725784301,0.7364,-0.0020000000000000018,5046272,-0.06944444444444442,0.5551737000005232,0.572512500002631,0.9944,0.02427875267353641,0.993802011013031
conv3,128,145226,-0.127163502584561,0.7602821520805358,0.7346,-0.00019999999999997797,5767168,-0.22222222222222232,0.5551737000005232,0.5529010000009293,0.9998,0.0015863787173554585,1.0
